A	archive file	ar (Unix)
DBK	Database backup	dBASE IV
DBL	DIBOL source file	
DBL	Design Block file	EAGLE
DBM	Datafile	DataEase
DBM	Menu template	DataBoss
DBO	Compiled program	dBASE IV
DBPro	DarkBasicPro Project	
DBS	Data file used by Managing Your Money	
DBS	Database in SQL Windows format	
DBS	Datafile	PRODAS
DBS	Printer description file	Microsoft Word, Microsoft Works
DBT	FoxBASE+ style memo	FoxPro 2.x
DBT	Memo file for database w/same name	dBASE IV - dBFast
DBW	Windows file	DataBoss
DBX	DataBeam	GCGW
DBX	AutoCAD Database	AutoCAD
DBX	Archive File	Outlook Express
DC	CAD drawing file	DesignCAD 3000 for Windows
DC6	Image file	Diablo II
DCA	Document Content Architecture text file	IBM DisplayWrite
DCC	Animation	Diablo II
DCD	CAD Drawing File	DesignCAD 3DMax for Windows
DCH	Schematic Drawing file	DipTrace Schematic Capture
DCI	Dreamcast Save File	Dreamcast
DCL	Delphi Control Library	Borland Delphi
DCM	DCM music module	AWAVE
DCP	OS/2 device code page	OS/2
DCS	Bitmap graphics (CYMK format)	QuarkXPress
DCS	Datafile	ACT! Activity Files
DCT	Dictionary: used by many programs with program dependent format	Clarion
DCT	Spell checking dictionary	Harvard Graphics 3.0 - Symphony
DCT	DataBaseContainer Extension	Visual FoxPro
DCU	Delphi unit (compiled)	Borland Delphi
DCW	Walter Machine Programing	Walter Profile Editor
DCX	Multi-page PCX graphics (common fax format)	Intel - SpectraFAX
DCX	DataBaseContainer Index	Visual FoxPro
DD	Macintosh file archive	DiskDoubler
DDA	Data	GLBasic ASCII 3D object
DDB	Bitmap graphics	
DDB	Digidesign Database File	Digidesign Pro Tools
DDD	Building Diagram	Diagramming software
DDI	Disk image	DiskDupe
DDP	Device Driver Profile file	OS/2
DDS	DirectDraw Surface file	Microsoft Flight Simulator, other Microsoft programs
DEB	Unix archive file (software package format)	Unix
DEB	DEBUG script	DOS Debug
DEF	Assembly header file	Geoworks
DEF	Defaults - definitions	
DEF	Linker definition file	TLink - WLink...
DEM	Demonstration	
DEM	Digital Elevation Model	
DEM	Graphics file	VistaPro
DEM	Vista DEM file	Meta.exe VP3
DER	Security certificate	Microsoft Windows
DES	Ascii text parameter description	AWAVE
DESKLINK	Windows Explorer Desktop Control (commonly "Desktop (create shortcut).DESKLINK", 0 bytes). Uses a 'special' hidden file extension (NeverShowExt flag inside the Registry), overriding the Windows Explorer option of showing/hiding file extensions.	
desktop	Desktop Entry	freedesktop.org
DEV	Device driver	
DEV	SYSGEN handler build procedure	RT-11
DEV	Dev-C++ project file	Dev-C++
DEX	Dalvik executable	Android
DFD	Data Flow Diagram graphic file	Prosa
DFF	RenderWare model data (e.g. Grand Theft Auto III and later)	
DFF	Audio file created by converting the audio format from an SACD. Normally found on torrenting sites like The Pirate Bay.	
DFI	Outline font description	Digifont
DFL	Default program settings	Signature
DFM	Data Flow Diagram model file	Prosa
DFM	Delphi form module	Borland Delphi
DFPWM	Dynamic Filter Pulse Width Modulation (audio codec)	Java (specifically, the Computronics modification for Minecraft)
DFS	Delight Sound File	
DFTI	Dynamic Formatted Text and Images (Word Processing)	FlexiWrite
DFV	Printing form (Word)	Microsoft Word
DFX	Micrografx Effects DLL	
DGN	Graphics file	MicroStation
DGS	Diagnostics	
DH	Dependency information for .ph	Geoworks
DHP	Dr. Halo PIC Format graphics file	Dr. Halo II - III
DHT	Datafile	Gauss
DI	D Programming Language interface file	DMD
DIA	Diagraph graphics file	Computer Support Corporation
DIB	Device Independent Bitmap	rarely used Windows 3.0 bitmap; Win - OS/2
DIC	Dictionary (e.g. from WinWord)	
